'Ard Case, (Unverified in 7th)Codex: Orks (pg 93)(Source: ??)
Runes of Witessing, (Unverified in 7th)One use only. If the Farseer fails a Psychic test&COMMA he can use these runes to re-roll the test (potentially negating Perls of the Warp in the process)
Runes of Witnessing, (Unverified in 7th)One use only. If the Farseer fails a Psychich test&COMMA he can use these runes to re-roll the test (potentially negating Perils of the Warp in the process). (Source: Codex Eldar&COMMA p.28)
Scattershield, (Unverified in 7th)The bearer has a 5+ invulnerable save. Whenever the bearer passes one or more saving throws using its scattershield&COMMA all units (friend or foe) within 6" must test as if they had just been hit by a weapon with the Blind special rule - even those that are engaged in close combat. A unit that passes the Initiative test is immune to the Blind rule for the rest of the phase.(Source: Codex Eldar&COMMA p.66)
Scout, (Unverified in 7th)After both sides have deployed (including Infiltrators)&COMMA but before the first player begins his first turn&COMMA a unit containing at least one model with this special rule can choose to redeploy. If the unit is Infantry&COMMA Artillery&COMMA a Walker or a Monstrous Creature&COMMA each model can redeploy anywhere entirely within 6" of its current position. If itis any other type&COMMA each model can instead redeploy anywhere entirely within 12" of its current position. During this redeployment&COMMA Scouts must remain more than 12" away from any enemy units. A unit that makes a Scout redeployment cannot charge in the first turn. A unit cannot embark or disembark as part of a Scout redeployment.&CRLF&CRLFIf both sides have Scouts&COMMA roll-off; the winner decides who redeploys first. Then alternate redeploying Scout units.&CRLF&CRLFIf a unit with this special rule is deployed inside a Dedicated Transport&COMMA it confers the Scout special rule to the Transport (though a disembarkation cannot be performed as part of the redeployment). Note that a Transport with this special rule does not lose it if a unit without this special rule is embarked upon it.&CRLF&CRLFThis rule also confers the Outflank special rule (see page 40).(Source: 40k Rulebook&COMMA p.41)
Scouts, (Unverified in 7th)After all deployment but before first turn a unit with this rule may redeploy&COMMA if it is Infantry&COMMA Artillery&COMMA Walker or a Monstrous Creature it may redeploy anywhere within 6"&COMMA all other unit types may redelpoy anywhere within 12".&CRLFAny unit that redelpoys with this rule may not charge on the first turn.&CRLFIf held in reserve&COMMA the unit gains outflank.(Source: BRB&COMMA p.41)
Scrolls of Magnus, (Unverified in 7th)Models with the Mark of Tzeentch only. At the beginning of each of his turns&COMMA the bearer of the Scrolls of Magnus may choose to gain an additional psychic power for the rest of the game. To do so&COMMA roll a D6 and consult the table below to see which discipline the new psychic power is from. Then&COMMA randomly generate a power from that discipline&COMMA as&CRLFif you were rolling for a Mastery Level I Psyker with the exception that you cannot swap to the Primaris Power. If this results in a power the bearer already knows&COMMA roll again on the table below. Every time the bearer rolls on the table below (including re-rolls)&COMMA the secrets of the Scrolls wrack his mind - he immediately takes a Strength 3 AP1 hit&COMMA with the Ignores Cover special rule.(Source: ??)
Serpent Shield, The Wave Serpent's shield protects the bow of the tank - whilst the shields are active&COMMA all penetrating hits inflicted against the Wave Serpent's front and side armour are downgraded to glancing hits on a D6 roll of 2+.&CRLF&CRLFIn its Shooting phase&COMMA the Wave Serpent can deactivate its shields to shoot a burst of energy with the following profile (treat this as a hull-mounted weapon pointing forward):&CRLF&CRLFIf this option is used&COMMA the Serpent shield is inactive until the start of its following turn.(Source: Codex Eldar&COMMA p.67)
Sharpshoot, (Unverified in 7th)All shots fired by this model are Precision Shots(Source: ??)
Sharpshot, (Unverified in 7th)Shots fired by models with this special rule (excluding Snap Shots) are always precision shots.(Source: Codex Eldar&COMMA p.55)
Shatter Defences, (Unverified in 7th)After deployment&COMMA but before Scout redeployments and Infiltrate deployment&COMMA nominate one piece of terrain in your opponent's deployment zone (this may not be one that he has purchased as part of his army). The terrain's cover save is decreased by one for the duration of the game. For example&COMMA a ruin (4+ cover save) would instead offer a 5+ cover save. A piece of terrain can only be shattered in this way once.(Source: ??)
Shield of Grace, (Unverified in 7th)In any round of a challenge&COMMA this model can choose to defend&COMMA gaining a 3+ invulnerable save until the end of the phase. If he does so&COMMA he can only make a single Attack this phase. You must declare that the model is opting to defend immediately before the Initiative 10 step. (Source: ??)
Shimmershield, (Unverified in 7th)The bearer and his unit have a 5+ invulnerable save.(Source: ??)
Shootier, (Unverified in 7th)Codex: Orks (pg 56)(Source: ??)
Shred, (Unverified in 7th)If a model has the Shred special rule&COMMA or is attacking with a Melee weapon that has the Shred special rule&COMMA it re-rolls failed To Wound rolls in close combat.&CRLF&CRLFSimilarly&COMMA if a model makes a shooting attack with a weapon that has the Shred special rule&COMMA it re-rolls its failed To Wound rolls.(Source: 40k Rulebook&COMMA p.41)
Shroud of Angels, (Unverified in 7th)The Darkshroud has Shrouded Special Rule and all friendlies within 6" have stealth(Source: ??)
Shroud of Heroes, (Unverified in 7th)Grants Feel No Pain (5+)&COMMA in addition as long as the wearer is not in a unit he has Shrouded
Shrouded, (Unverified in 7th)A unit that contains at least one model with this special rule counts its cover saves as being 2 points better than normal. Note that this means a model with the Shrouded special rule always has a cover save of at least 5+&COMMA even if it's in the open.&CRLF&CRLFCover save bonuses from the Shrouded and Stealth special rules are cumulative (to a maximum of a 2+ cover save).(Source: 40k Rulebook&COMMA p.41)
Siege Crawler, (Unverified in 7th)Maulerfiends can move up to 12" in the Movement phase and are not slowed by difficult terrain (even when charging). In addition&COMMA in close combat&COMMA Maulerfiends add 1 to armour penetration rolls against buildings.(Source: ??)
Sigil of Corruption, A model with a sigil of corruption has a 4+ Invulnerable Save(Source: CSM codex pp. 104)
Skilled Rider, (Unverified in 7th)A unit that contains at least one model with this special rule automatically passes Dangerous Terrain tests&COMMA and receives +1 to its Jink cover saves (other cover saves are unaffected). (Source: 40k Rulebook&COMMA p.41)
Skyburst, (Unverified in 7th)This shooting attack does not need line of sight. If the unit consists of at least six models with a grenade pack&COMMA the attack has the Large Blast special rule - otherwise it has the Blast special rule.(Source: Codex Eldar&COMMA p.66)
Skyfire, (Unverified in 7th)A model with this special rule&COMMA or that is firing a weapon with this specia rule&COMMA fires using its normal Ballistic Skill when shooting at Flyers&COMMA Flying Monstrous Creatures and Skimmers. Unless it also has the Interceptor special rule&COMMA it can only fire snap shots against other targets. (Source: 40k Rulebook&COMMA p.42)
Skyhunter, (Unverified in 7th)When shooting at a vehicle with the Flyer type&COMMA a model with this special rule re-rolls armour penetration rolls that do not cause a glancing or penetrating hit.(Source: Codex Eldar&COMMA p.39)
Skyleap, (Unverified in 7th)A unit composed entirely of models with this special rule can 'skyleap' - when it does so&COMMA remove the unit from the board and place it in Ongoing Reserve. This cannot be done in the same turn that the unit arives from Reserve. A skyleap can only be peformed at the start of the unit's Movement phase&COMMA before Regroup tests. Units that are locked in combat&COMMA pinned&COMMA falling back or carrying a Relic or other objective counter cannot skyleap. A Swooping Hawk unit that is in Reserve at the end of the game awards Victory Points as if it had been removed as a casualty.(Source: Codex Eldar&COMMA p.35)
Slow and Purposeful, (Unverified in 7th)Cannot run&COMMA turbo-boost&COMMA move flat out&COMMA perform sweeping advances or fire overwatch. They can shoot with heavy&COMMA salvo and ordance weapons&COMMA counting as stationary even if they moved in the previous movement phase. They are also allowed to charge in the same turn they fire Heavy&COMMA Ordance&COMMA Rapid Fire or Salvo weapons.(Source: ??)
Slow and Purposeful , (Unverified in 7th)A unit that contains at least one model with this special rule cannot Run&COMMA Turbo-boost&COMMA move Flat Out&COMMA perform Sweeping Advances or fire Overwatch. They can&COMMA however&COMMA shoot with Heavy&COMMA Salvo and Ordnance weapons&COMMA counting as stationary&COMMA even if they moved in the previous Movement phase. They are also allowed to charge in the same turn they fire Heavy&COMMA Ordnance&COMMA Rapid Fire or Salvo weapons. (Source: ??)
Smash, All of the close combat attacks&COMMA except Hammer of Wrath attacks&COMMA of a model with this special rule are resolved at AP2 (unless it is attacking with an AP1 weapon). Additionally&COMMA when it makes its close combat attacks&COMMA it can choose instead to make a single Smash Attack. If it does so&COMMA roll To Hit as normal&COMMA but resolve the Attack at double the model's Strength (to a maximum of 10). Furthermore&COMMA a model making a Smash Attack can re-roll its armour penetration rolls&COMMA but must abide by the second result.
Snazzgun, (Unverified in 7th)Roll once each Shooting phase to determine the unit's AP&COMMA but only after the target unit has been chosen.(Source: ??)
Sniper, (Unverified in 7th)If a weapon has the Sniper special rule&COMMA or is fired by a model with the SNiper special rule&COMMA each To Hit roll of a 6 results in a Precision Shot (see page 63).&CRLF&CRLFFurthermore&COMMA if a weapon has the Sniper special rule&COMMA or is fired by a model with the Sniper special rule&COMMA its shooting attacks always wound on a To Wound roll of 4+&COMMA regardless of the victim's Toughness. Against vehicles&COMMA Sniper weapons count as Strength 3.&CRLF&CRLFSniper weapons also have the Pinning and Rending special rules.(Source: 40k Rulebook&COMMA p.42)
Soul Blaze, (Unverified in 7th)If a unit suffers one or more unsaved Wounds from an attack with this special rule&COMMA it is set ablaze and continues to burn - mark it with a coin or counter as a reminder.&CRLF&CRLFAt the end of each turn&COMMA roll a D6 for each unit with a Soul Blaze counter on it. On a 3 or less&COMMA the flames die out and the unit is no longer ablaze - remove your reminder counter. On a 4+&COMMA the unit takes D3 Strength 4 AP 5 hits. These WOunds are allocated by the unit's controlling player and cover saves cannot be taken. A unit cannot have more than one set ablaze counter on it at a time.(Source: 40k Rulebook&COMMA p.42)
Soulrazor, (Unverified in 7th)When a model suffers one or more unsaved Wounds from this weapon&COMMA it must pass a separate Leadership test for each Wound suffered or be removed from play. (Source: Codex Eldar&COMMA p.64)
Specialist Weapon, (Unverified in 7th)A model fighting with this weapon does not receive the +1 attack for fighting with two weapons unless both weapons have the Specialist Weapon rule (brb p42) 
Spell Familiar, A model with a spell familiar may re-roll failed Psychic test. The spell familiar is always assumed to be on the same base as its master. If you wish to represent it separately you can. However&COMMA the model itself plays no part in the game; if the model gets in the way&COMMA simph move it to one side.(Source: ??)
Spirit Mark, (Unverified in 7th)At any point during your movement phase&COMMA nominate a single enemy within 12" of the Spiritseer - place a counter next to it to show it has been spirit-marked. All Wraithguards&COMMA Wraithblades&COMMA Wraithlords&COMMA Wraithknights and Hemlock Wraithfighters can re-roll To Hit rolls of 1 against spirit-marked units. At the end of your turn&COMMA remove all spirt-mark counters from play.(Source: Codex Eldar&COMMA p.29)
Spirit Stones, (Unverified in 7th)A vehicle with this upgrade ignores Crew Shaken results on a roll of 2+ and Crew Stunned results on a roll of 4+. Roll immediately when the result is suffered.(Source: Codex Eldar&COMMA p.67)
Spiritlink, (Unverified in 7th)Whenever Eldrad passes a Psychic test&COMMA roll a D6. On a score of 5 or 6&COMMA Eldrad immediately regains a Warp Charge point.(Source: Codex Eldar&COMMA p.53)
Split Fire, (Unverified in 7th)When a unit that contains at least one model with this special rule shoots&COMMA one model in the unit can shoot at a different target to the rest of his unit. To do so&COMMA the unit must first take a Leadership test. If the test is failed&COMMA the unit shoots as normal. If the test is passed&COMMA choose one model in the unit and immediately make a shooting attack with it. Once this shooting attack has been resolved&COMMA resolve the shooting attacks made by the rest of the unit. These must be at a different target and may not be a unit forced to disembark from any Transport that has been Wrecked or suffered an Explodes! result due to the Split Firing unit's initial shooting attack.(Source: 40k Rulebook&COMMA p.42)
Squig Hound, (Unverified in 7th)A squig hound is a fierce breed of squig trained to devour errant Grots on command. Each time a unit with a squig-hound fails a Morale test it may remove D3 Gretchin models to re-roll that Morale test.
Stalker, (Unverified in 7th)In the first round of a challenge&COMMA the model can attempt to backstab his opponent - you must declare he is doing so immediately after a challenge has been accepted. If the attempt is made&COMMA both he and his opponent roll a D6 before either makes any To Hit rolls. The model with this power adds 1 to the total if his Initiative is higher than his opponent's. &CRLF&CRLFIf the model's total is equal to or higher than the opponent's&COMMA he re-rolls failed To Wound rolls this phase.(Source: ??)
Star Engines, (Unverified in 7th)A non-Walker vehicle with this upgrade can move up to 24" when moving Flat Out. A Walker with this upgrade instead Runs an additional 3" (this will normally be D6+3").(Source: Codex Eldar&COMMA p.67)
Stasis Anomaly, (Unverified in 7th)Every model in a unit hit by one or more weapons with this special rule suffers a -1 penalty to their  Weapon Skill and Initiative&COMMA to a minimum of 1&COMMA until the end of the turn.(Source: ??)
Stealth, (Unverified in 7th)A unit that contains at least one model with this special rule counts its cover saves as being 1 point better than normal. Note that this means that a model with the Stealth special rule always has a cover save of at least 6+ even if it is in the open.&CRLF&CRLFCover save bonuses from the Shrouded and Stealth special rules are cumulative (to a maximum of a 2+ cover save).(Source: 40k Rulebook&COMMA p.42)
Steed of Slaanesh, (Unverified in 7th)The model receives +1 Attack&COMMA and adds +3" to his Run moves. Furthermore&COMMA he gains the Acute Senses and Outflank special rules&COMMA and his unit type becomes Cavalry(Source: ??)
Stikkbomb Chucka, (Unverified in 7th)Codex: Orks (pg 93)(Source: ??)
Stikkbombs, (Unverified in 7th)Count as frag grenades&COMMA see the Warhammer 40K rulebook.(Source: ??)
Storm of Fire, (Unverified in 7th)Warlord Trait: One use only. Declare your Warlord is using this ability at the start of one of your Shooting phases. For the duration of that phase&COMMA a single friendly unit from Codex: Space Marines within 12" of the Warlord may re-roll any fai led To Hit rolls. 
Strafing Run, (Unverified in 7th)When shooting Assault&COMMA Heavy&COMMA Rapid Fire or Salvo weapons at Artillery&COMMA Beasts&COMMA Bikes&COMMA Cavalry&COMMA Infantry&COMMA Monsterous Creatures and vehicles without the Flyer or Skimmer type&COMMA this vehicle has a +1 Ballistic Skill.  Regardless of the target&COMMA the vehicle's shots also have the Pinning special rule.(Source: BRB&COMMA p.42)
Stubborn, (Unverified in 7th)Ignore all negative Ld modifiers&COMMA if the unit has Fearless as well ignore this rule.(Source: BRB&COMMA p.43)
Sun's Brilliance, (Unverified in 7th)When Baharroth enters play from Deep Strike&COMMA all enemy units within 6" must test as if hit by a weapon with the Blind special rule. Models that are immune to the Blind special rule are immune to the Sun's Brilliance.(Source: Codex Eldar&COMMA p.60)
Supreme Grand Master of the Dark Angels, (Unverified in 7th)In a primary detachment that contains Azrael&COMMA Ravenwing Attack Squadrons and Deathwing Terminator Squads are troops instead of their normal Force Organisation categories.(Source: Codex: Dark Angels 6th&COMMA p.92)
Swoop Attack, (Unverified in 7th)Zagstruk and da Vulcha Boyz must enter the battle via Deep Strike. They may not shoot that turn&COMMA but to represent their swooping dive into the enemy ranks they may assault that turn (provided they are close enough). If the Vulcha Boyz assaults the turn it Deep Strikes into play&COMMA remove D3 Stormboyz at the beginning of combat as crash landing casualties.(Source: ??)
Swooping Hawk Wings, (Unverified in 7th)A model with Swooping Hawk Wings gains the Jump unit type.(Source: Codex Eldar&COMMA p.67)
Tactical Precision, (Unverified in 7th)Belial and any unit he has joined with Inner Circle rule do not scatter when Deep Striking.(Source: Codex: Dark Angels 6th&COMMA p.56)
Tankbusta Bombz, (Unverified in 7th)Tankbusta bombz are used just like krak grenades.(Source: ??)
Terrify, (Unverified in 7th)Terrify is a malediction that targets a single enemy unit within 24". The target receives no benefit from the Fearless special rule and treats all enemy units as havin the Fear special rule for the power's duriation. Furthermore&COMMA it must immediately take a Morale check.(Source: 40k Rulebook&COMMA p.423)
The Betrayer, (Unverified in 7th)When rolling To Hit with Kharn's melee attacks&COMMA any unmodified rolls of a 1 are not discarded. Instead&COMMA they automatically hit a friendly model (but not Khorn) locked in the same combat. Randomly determine (for each roll of a 1) which model is hit&COMMA from those within 6" of Kharn. If there are no viable targets in range&COMMA these Attacks are discarded.(Source: ??)
The Black Staff of Ahriman, (Unverified in 7th)Allows Ahriman to manifest up to three witchfire powers in the same Shooting phase&COMMA prol'ided he has enough Warp Charge poims.(Source: ??)
The Chirurgeon, (Unverified in 7th)The Chirurgeon gives Fabius +2 Attacks and +1 Strength (included in his profile) and the Feel No Pain special mle.(Source: ??)
The Destroyer Hive, (Unverified in 7th)Once per game&COMMA in any Assault phase&COMMA Typhus can unleash the Destroyer Hive instead of attacking. At the start of Typhus' Initiative Step&COMMA place a large blast marker with the hole centered over Typhus (this does not scatter). All units (friend and foe) suffer a number of hits equal to the number of models from their unit that are at least partially under the large blast marker. These hits are resolved at S4 AP2 and have the "Ignores Cover" special rule. Do not count Typhus when working out how many hits are caused. Wounds from this attack cannot be allocated to Typhus.(Source: ??)
The Eye of Wrath, (Unverified in 7th)One use only. In the FIght sub-phase&COMMA provided he is not in a challenge&COMMA Wriel can make a special attack at his Initiative step instead of making any close combat attacks. Centre a large blast marker over Yriel; all units (friend or foe) suffer a number of Strength 6 AP3 hits equal to the number of models from their unit at least partially under the template (excluding Yriel). Only unsaved Wounds caused to enemy units count towards combat resolution.(Source: Codex Eldar&COMMA p.54)
The Hamadrya, (Unverified in 7th)This creature manifests curious powers.&CRLF&CRLFThe Hamadrya is a combat familiar (pg 67). In addition&COMMA the beast makes Huron a Psyker (Mastery Level 1)&COMMA granting him a randomly generated power as follows. At the beginning of each of your turns&COMMA roll a D3 on the table below. Then&COMMA randomly generate one psychic power from that discipline as if you were rolling for a Mastery Level 1 Psyker&COMMA with the exception that you cannot swap to the Primaris Power. The generated power may be used during that turn only.&CRLF&CRLF1 - Biomancy&CRLF2 - Pyromancy&CRLF3 - Divination(Source: ??)
The Path Beyond, (Unverified in 7th)After both sides have deployed&COMMA but before Scout redeployment has been performed&COMMA you can redeploy D3+1 of your units. Such units must be placed in your deployment zone&COMMA even if they have the Infiltrate special rule. This cannot be used to move units into or out of reserve. (Source: ??)
The Path of Strategy, (Unverified in 7th)If your army contains one or more Autarchs&COMMA you can modify any of your reserve rolls by +1 or -1 (choose separately after each roll is made).(Source: Codex Eldar&COMMA p.27)
The Phoenix Gem, (Unverified in 7th)One use only. Immediately before the bearer of the Phoenix Gem is removed as a casualty&COMMA roll a D6. On a score of 1&COMMA nothing happens - remove the model as a casualty. On a score of 2-6&COMMA centre the large blast marker over the model. Each unit (friend or foe) suffers a number of Strength 4 AP5 hits equal to the number of models from their unit that are at least partially under the template. If at least one unsaved Wound is caused&COMMA the bearer is not removed as a casualty&COMMA but remains in play with a single Wound remaining. If no unsaved Wounds are caused&COMMA remove the model as a casualty.&CRLF&CRLFDoes not replace a weapon.(Source: Codex Eldar&COMMA p.69)
The Scorpion's Bite, (Unverified in 7th)During the Fight sub-phase&COMMA at the Initiative 10 step&COMMA Karandas automatically inflicts a single Strength 6 AP- hit on one enemy in base contact. If Karandras is in a challenge&COMMA this hit must be directed against his opponent. The Scropion's Bite is not affected by special rules that reduce Initiative.(Source: Codex Eldar&COMMA p.58)
The Spirit Stone of Anath'lan, Every time the bearer of the Spirit Stone of Anath'lan attepmts to manifest a psychic power&COMMA he can choose to reduce the Warp Charge cost by 1 (to a minimum of 1). If he does so&COMMA he cannot use his rune armour's invulnerable save until the start of his next turn.&CRLF&CRLFDoes not replace a weapon.(Source: Codex Eldar&COMMA p.69)
Twin-Linked, Re-roll misses
Two-Handed, (Unverified in 7th)Weapons with this special rule allow no extra attacks from using two CCW's.
Two-handed, (Unverified in 7th)A model attacking with this weapon can never gain bonus Attacks fro fighting with two weapons. (Source: 40k Rulebook&COMMA p.43)
Unquenchable Resolve, (Unverified in 7th)At the end of any phase in which Fuegan suffers one or more unsaved Wounds&COMMA his Strength and Attacks increase by 1 for each unsaved Wound suffered. These characteristic bonuses last for the rest of the game.(Source: Codex Eldar&COMMA p.59)
Unrelenting Hunter, (Unverified in 7th)When shooting at enemy vehicles&COMMA a Nephilim Jetfighter can choose to treat any Weapon Destroyed results as Immobilised results.(Source: Codex: Dark Angels&COMMA p.50)
Unwieldy, (Unverified in 7th)A model attacking with this weapon does so at Initiative step 1&COMMA unless it is a Monstrous Creature or a Walker.(Source: 40k Rulebook&COMMA p.43)
Vast Stasis Anomaly, (Unverified in 7th)Every model in a unit hit by one or more weapons with this special rule suffers a -3 penalty to its Weapon&CRLFSkill and Initiative&COMMA to a minimum of 1&COMMA until the end of the turn. This replaces any penalty inflicted on a target by a Stasis Anomaly.(Source: ??)
Vaul's Work, (Unverified in 7th)The bearer of this weapon has the Fearless special rule. In a challenge&COMMA Attacks made with this weapon have the Fleshbane and Instant Death special rules.(Source: Codex Eldar&COMMA p.69)
Vector Dancer, (Unverified in 7th)A model with this special rule can make an additional pivot on the spot of up to 90 degrees at the end of its move. A model that uses this extra pivot cannot move Flat Out in the following Shooting phase.(Source: 40k Rulebook&COMMA p.43)
Vectored Engines, (Unverified in 7th)Unless it is Immobilised&COMMA a vehicle with this upgrade can pivot to face any direction immediately after resolving its shooting attack (in the Shooting phase).(Source: Codex Eldar&COMMA p.67)
Veil of Tears, (Unverified in 7th)Veil of Tears is a blessing that affects the Shadowsser and their unit. Any enemy unit wishing to target the Shadowseer or their unit must roll 2D6x2. If the Shadowseer or their unit are not within this distance in inches&COMMA the enemy may not fire this turn.(Source: ??)
Vengeful Strike, (Unverified in 7th)When a model with this rule arrives from Deep Strike&COMMA it treats all ranged weapons as having Twin Linked until end of turn.(Source: Codex: Dark Angels 6th&COMMA p.44)
Veterans of the Long War, Models with the Veterans of the Long War special rule have the Hatred (Space Marines) special rule (see designer's note&COMMA pg 28) and +1 Leadership.(Source: CSM codex pp. 104)
Vibro, (Unverified in 7th)If a unit is hit by two or more Vibro shots as part of the same unit's Shooting attack&COMMA the Strength of all Vibro hits is increased by 1 for each hit beyond the first&COMMA and the AP of all Vibro hits is reduced by 1 for each hit beyond the first. Strength cannot be raised above 10&COMMA and AP cannot be reduced below 1. For example&COMMA if a unit suffers three hits from Vibrocannons (normally Strength 7 and AP4)&COMMA those hits are resolved at Strength 9 and AP2.(Source: Codex Eldar&COMMA p.64)
Violent Temper, (Unverified in 7th)Should his unit ever fail a Morale check&COMMA Zagstruk will execute a member of the unit to restore order. The unit is instead counted as passing the test&COMMA but a Stormboy model must be removed as a casualty as a result. If Zagstruk is on his own&COMMA the Violent Temper rule does not apply.(Source: ??)
Waaagh!, (Unverified in 7th)Orks live for the moment when they charge into battle&COMMA their deafening scream often being the last thing their enemies hear before being slaughtered by mobs of Boyz.  Once per game&COMMA the Ork player can declare a Waaagh! at the beginning of his turn and it lasts until the beginning of his next turn.  This may not normally be declared during the first turn as a proper Waaagh! needs some momentum behind it.&CRLF    &CRLFFor the duration of the turn&COMMA all friendly Ork infantry units (except Gretchin) get the Fleet of Foot special rule. (Source: Codex: Orks pp. 31)&CRLF
Waaagh! Banner, (Unverified in 7th)A mob including a Waaagh! banner has +1 Weapon Skill.(Source: ??)
Waagh! Plane, (Unverified in 7th)When a Waagh! is called&COMMA model may shoot it's assault weapons double the number of times.(Source: ??)
Walker of the Hidden Path, (Unverified in 7th)Illic Nightspear has the Infiltrate special rule&COMMA and can be deployed anywhere on the battelfield that is outside of impassable terrain&COMMA regardless of enemy proximity. In addition&COMMA any friendly Eldar Rangers or Alaitoc Pathfinders that are Outflanking can choose to arrive next to Illic Nightspear when they become available. To do so&COMMA Deep Strike the unit so that it is wholly within 6" of Illic Nightspear - it does not scatter. (Source: Codex Eldar&COMMA p.55)
Warbike, (Unverified in 7th)Any model mounted on a Warbike adds 1 to his Toughness&COMMA modifies his troop type to Bike&COMMA gains a 4+ armour save and the Exhaust Cloud special rule.(Source: ??)
Warlord Trait, (Unverified in 7th)Pick (do not roll) on the Dark Angels Warlord table on Page 28(Source: Codex: Dark Angels 6th&COMMA p.53)
Warlord Trait: Ambush of Blades, (Unverified in 7th)One use only. Declare your Warlord is using this ability at the start of one of your Shooting or Assault phases. For the duration of the phase&COMMA the Warlord and all friendly units from Codex: Eldar within 12" of him&COMMA re-roll 1s when rolling To Wound.(Source: Codex Eldar&COMMA p.25)
Warlord Trait: An Eye on Distant Events, (Unverified in 7th)One use only. Declare your Warlord is using this ability at the start of an enemy Shooting phase. For the duration of the phase the Warlord&COMMA and all friendly units from Codex: Eldar within 12" of him&COMMA have the Stealth special rule.(Source: Codex Eldar&COMMA p.25)
Warlord Trait: Falcon's Swiftness, (Unverified in 7th)The Warlord and his unit add 1 to the dice roll when determining how far they can Run (this will normally be D6+1"). (Source: Codex Eldar&COMMA p.25)
Warlord Trait: Fate's Messenger, (Unverified in 7th)The Warlord re-rolls all saving throw results of 1.(Source: Codex Eldar&COMMA p.25)
Warlord Trait: Mark of the Incomparable Hunter, (Unverified in 7th)The Warlord has the Split Fire special rule.(Source: Codex Eldar&COMMA p.25)
Warlord Trait: Rapid Manoeuvre, (Unverified in 7th)Your Warlord&COMMA and any unit he joins&COMMA can either roll 2 dice when they run&COMMA using the highest roll&COMMA or can add D6" to any Turbo-boost they make (or Flat Out move&COMMA in the case of Master Sammael on his Land Speeder).(Source: Codex: Dark Angels 6th&COMMA p.58)
Warlord Trait: The Hunt, (Unverified in 7th)+1 Victory point if your Warlord or his unit kill enemy Warlord in the Assault phase.(Source: Codex: Dark Angels 6th&COMMA p.56)
Warp Jump Generator, (Unverified in 7th)Models with Warp jump generators gain the Jet Pack unit type. In the Movement phase&COMMA a model with a Warp jump generator can choose to either move as Jet Pack Infantry or make a Warp jump. If making a Warp jump&COMMA it immediately moves up to 6+2D6" in any direction (roll once per unit each turn)&COMMA ignoring all intervening terrain and models. This move ignores dangerous terrain. If the 2D6 roll is a double&COMMA one member of the unit (determined randomly) is removed as a casulaty. Warp jumps cannot be used when falling back.(Source: Codex Eldar&COMMA p.67)
Warpflame Gargoyles, (Unverified in 7th)All weapons on a vehicle with warpflame gargoyles have the Soul Blaze special rule.(Source: ??)
Warpflame Strike, (Unverified in 7th)Immediately after a unit of Warp Talons has arrived from reserve by Deep Strike&COMMA all enemy units within 6" count as having been hit by a weapon with the Blind special rule.(Source: ??)
Warphead, (Unverified in 7th)Codex: Orks (pg 37)(Source: ??)
Wartrakk, (Unverified in 7th)Warbuggies are sometimes equipped with heavy duty trakk units. Any Warbuggy that has been upgraded to a Wartrakk or Skorcha may re-roll any Dangerous Terrain tests it must take. (Ork Codex pp. 49)
Wildfire, (Unverified in 7th)Whenever the Firesabre's Soul Blaze rule inflicts one or more unsaved Wounds&COMMA roll a D6 for every unit (friend or foe&COMMA but excluding the bearer's unit) within 6" of the unit that suffered the Wound. On a roll of 6&COMMA that unit is set ablaze as for the Soul Blaze special rule (this Soul Blaze does not benefit from the Wildfire special rule).(Source: Codex Eldar&COMMA p.69)
Wreckin' Ball, (Unverified in 7th)Codex: Orks (pg 92)(Source: ??)
You Cannot Hide, (Unverified in 7th)Gain a precision strike on a 6 in close combat(Source: ??)
Zealot, (Unverified in 7th)Unit this Character is joined to has Fearless and Hatred (Everything)(Source: BRB&COMMA p.43)
Zzap Gun (Vehicle Mounted), (Unverified in 7th)Each time a Zzap gun is fired roll 2D6 to determine its Strength. When they score glancing or penetrating hits against vehicles&COMMA Zzap guns automatically cause a 'Crew Shaken' result in addition to any other effects.(Source: ??)
Open-Topped, \begin{description}\item[OPEN-TOPPED VEHICLES]Some vehicles have only a little armour&COMMA making them more vulnerable to damage because of their lightweight construction. However&COMMA such vehicles make for excellent assault transports as their passengers can disembark with much greater ease. \item[THE VEHICLE DAMAGE TABLE] A lack of armour leaves vital parts of these vehicles vulnerable. If a vehicle is Open-topped&COMMA add 1 to any rolls made on the Vehicle Damage table (this is cumulative with other modifiers). \item[OPEN-TOPPED TRANSPORTS] Open-topped vehicles do not have specific Access Points. Instead&COMMA all of the vehicle is considered to be an Access Point (regardless of any base they may have). \item[Passengers Shooting from Open-topped Transports] Open-topped Transports do not have specific Fire Points. Instead&COMMA all passengers in an Open-topped Transport can fire&COMMA measuring range and line of sight from any point on the hull of the vehicle. \item[Passengers Charging from Open-topped Transports] Acting as an ideal attack platform&COMMA all Open-topped Transports have the Assault Vehicle special rule.\end{description}
Mutated Beyond Reason, In CC roll D3.  1: armour save +1&COMMA 2: roll 2D6 and use highest for number of attacks&COMMA 3: poison (4+) special rule
